[2023-08-02 07:08:12.134] sended 0287 to server
[2023-08-02 07:08:12.185] sended 0288 to server
[2023-08-02 07:08:12.236] sended 0287 to server
[2023-08-02 07:08:12.236] sended 0287 to server
[2023-08-02 07:08:12.236] sended 0288 to server
[2023-08-02 07:08:12.287] sended 0287 to server
[2023-08-02 07:08:12.287] sended 0288 to server
[2023-08-02 07:08:12.338] sended 0287 to server
[2023-08-02 07:08:12.338] sended 0288 to server
[2023-08-02 07:08:12.339] sended 0288 to server
[2023-08-02 07:08:12.389] sended 0288 to server
[2023-08-02 07:08:12.390] sended 0288 to server
[2023-08-02 07:08:12.441] sended 0288 to server
[2023-08-02 07:08:12.491] sended 0287 to server
[2023-08-02 07:08:12.492] sended 0288 to server
[2023-08-02 07:08:12.492] sended 0288 to server
[2023-08-02 07:08:12.543] sended 0288 to server
[2023-08-02 07:08:12.543] sended 0288 to server
[2023-08-02 07:08:12.543] sended 0287 to server
[2023-08-02 07:08:12.594] sended 0288 to server
[2023-08-02 07:08:12.595] sended 0288 to server
[2023-08-02 07:08:12.595] sended 0288 to server
[2023-08-02 07:08:12.646] sended 0288 to server
[2023-08-02 07:08:12.646] sended 0287 to server
[2023-08-02 07:08:12.647] sended 0288 to server
[2023-08-02 07:08:12.698] sended 0287 to server
[2023-08-02 07:08:12.698] sended 0287 to server
[2023-08-02 07:08:12.699] sended 0287 to server
[2023-08-02 07:08:12.750] sended 0287 to server
[2023-08-02 07:08:12.750] sended 0287 to server
[2023-08-02 07:08:12.751] sended 0287 to server
[2023-08-02 07:08:12.802] sended 0287 to server
[2023-08-02 07:08:12.802] sended 0287 to server
[2023-08-02 07:08:12.853] sended 0288 to server
[2023-08-02 07:08:12.853] sended 0288 to server
[2023-08-02 07:08:12.854] sended 0288 to server
[2023-08-02 07:08:12.854] sended 0287 to server
[2023-08-02 07:08:12.905] sended 0287 to server
[2023-08-02 07:08:12.905] sended 0288 to server
[2023-08-02 07:08:12.905] sended 0288 to server
[2023-08-02 07:08:12.956] sended 0287 to server
[2023-08-02 07:08:13.007] sended 0288 to server
[2023-08-02 07:08:13.007] sended 0288 to server
[2023-08-02 07:08:13.058] sended 0288 to server
[2023-08-02 07:08:13.058] sended 0288 to server
[2023-08-02 07:08:13.109] sended 0287 to server
[2023-08-02 07:08:13.109] sended 0287 to server
[2023-08-02 07:08:13.110] sended 0288 to server
[2023-08-02 07:08:13.110] sended 0288 to server
[2023-08-02 07:08:13.161] sended 0287 to server
[2023-08-02 07:08:13.161] sended 0288 to server
[2023-08-02 07:08:13.162] sended 0287 to server
[2023-08-02 07:08:13.213] sended 0288 to server
[2023-08-02 07:08:13.213] sended 0288 to server
[2023-08-02 07:08:13.264] sended 0288 to server
[2023-08-02 07:08:13.264] sended 0287 to server
[2023-08-02 07:08:13.265] sended 0287 to server
[2023-08-02 07:08:13.366] sended 0288 to server
[2023-08-02 07:08:13.367] sended 0287 to server
[2023-08-02 07:08:13.417] sended 0287 to server
[2023-08-02 07:08:13.418] sended 0287 to server
[2023-08-02 07:08:13.418] sended 0287 to server
[2023-08-02 07:08:13.419] sended 0287 to server
[2023-08-02 07:08:13.469] sended 0288 to server
[2023-08-02 07:08:13.470] sended 0288 to server
[2023-08-02 07:08:13.470] sended 0288 to server
[2023-08-02 07:08:13.521] sended 0288 to server
[2023-08-02 07:08:13.521] sended 0288 to server
[2023-08-02 07:08:13.522] sended 0288 to server
[2023-08-02 07:08:13.573] sended 0288 to server
[2023-08-02 07:08:13.573] sended 0288 to server
[2023-08-02 07:08:13.624] sended 0287 to server
[2023-08-02 07:08:13.624] sended 0288 to server
[2023-08-02 07:08:13.625] sended 0287 to server
[2023-08-02 07:08:13.675] sended 0288 to server
[2023-08-02 07:08:13.676] sended 0288 to server
[2023-08-02 07:08:13.727] sended 0288 to server
[2023-08-02 07:08:13.727] sended 0287 to server
[2023-08-02 07:08:13.727] sended 0288 to server
[2023-08-02 07:08:13.778] sended 0287 to server
[2023-08-02 07:08:13.779] sended 0287 to server
[2023-08-02 07:08:13.779] sended 0288 to server
[2023-08-02 07:08:13.831] sended 0288 to server
[2023-08-02 07:08:13.831] sended 0287 to server
[2023-08-02 07:08:13.882] sended 0288 to server
[2023-08-02 07:08:13.882] sended 0288 to server
[2023-08-02 07:08:13.934] sended 0288 to server
[2023-08-02 07:08:13.934] sended 0288 to server
[2023-08-02 07:08:13.985] sended 0288 to server
[2023-08-02 07:08:13.986] sended 0287 to server
[2023-08-02 07:08:13.986] sended 0288 to server
[2023-08-02 07:08:13.987] sended 0288 to server
[2023-08-02 07:08:14.038] sended 0287 to server
[2023-08-02 07:08:14.039] sended 0288 to server
[2023-08-02 07:08:14.040] sended 0288 to server
[2023-08-02 07:08:14.090] sended 0287 to server
[2023-08-02 07:08:14.091] sended 0287 to server
[2023-08-02 07:08:14.092] sended 0288 to server
[2023-08-02 07:08:14.092] sended 0287 to server
[2023-08-02 07:08:14.143] sended 0287 to server
[2023-08-02 07:08:14.144] sended 0287 to server
[2023-08-02 07:08:14.144] sended 0288 to server
[2023-08-02 07:08:14.195] sended 0287 to server
[2023-08-02 07:08:14.196] sended 0287 to server
[2023-08-02 07:08:14.246] sended 0288 to server
[2023-08-02 07:08:14.247] sended 0288 to server
[2023-08-02 07:08:14.247] sended 0287 to server
[2023-08-02 07:08:14.298] sended 0287 to server
[2023-08-02 07:08:14.299] sended 0287 to server
[2023-08-02 07:08:14.350] sended 0288 to server
[2023-08-02 07:08:14.350] sended 0287 to server
[2023-08-02 07:08:14.401] sended 0287 to server
[2023-08-02 07:08:14.401] sended 0287 to server
[2023-08-02 07:08:14.402] sended 0287 to server
[2023-08-02 07:08:14.403] sended 0287 to server
[2023-08-02 07:08:14.454] sended 0288 to server
[2023-08-02 07:08:14.454] sended 0288 to server
[2023-08-02 07:08:14.455] sended 0288 to server
[2023-08-02 07:08:14.455] sended 0288 to server
[2023-08-02 07:08:14.506] sended 0288 to server
[2023-08-02 07:08:14.507] sended 0288 to server
[2023-08-02 07:08:14.507] sended 0287 to server
[2023-08-02 07:08:14.558] sended 0288 to server
[2023-08-02 07:08:14.558] sended 0288 to server
[2023-08-02 07:08:14.559] sended 0288 to server
[2023-08-02 07:08:14.560] sended 0288 to server
[2023-08-02 07:08:14.611] sended 0287 to server
[2023-08-02 07:08:14.611] sended 0287 to server
[2023-08-02 07:08:14.612] sended 0288 to server
[2023-08-02 07:08:14.663] sended 0288 to server
[2023-08-02 07:08:14.663] sended 0288 to server
[2023-08-02 07:08:14.664] sended 0287 to server
[2023-08-02 07:08:14.664] sended 0287 to server
[2023-08-02 07:08:14.716] sended 0288 to server
[2023-08-02 07:08:14.716] sended 0287 to server
[2023-08-02 07:08:14.717] sended 0287 to server
[2023-08-02 07:08:14.768] sended 0288 to server
[2023-08-02 07:08:14.768] sended 0288 to server
[2023-08-02 07:08:14.819] sended 0287 to server
[2023-08-02 07:08:14.819] sended 0288 to server
[2023-08-02 07:08:14.820] sended 0287 to server
[2023-08-02 07:08:14.871] sended 0288 to server
[2023-08-02 07:08:14.871] sended 0288 to server
[2023-08-02 07:08:14.922] sended 0288 to server
[2023-08-02 07:08:14.922] sended 0288 to server
[2023-08-02 07:08:14.923] sended 0287 to server
[2023-08-02 07:08:14.974] sended 0288 to server
[2023-08-02 07:08:15.025] sended 0288 to server
[2023-08-02 07:08:15.025] sended 0288 to server
[2023-08-02 07:08:15.026] sended 0287 to server
[2023-08-02 07:08:15.077] sended 0288 to server
[2023-08-02 07:08:15.077] sended 0288 to server
[2023-08-02 07:08:15.078] sended 0288 to server
[2023-08-02 07:08:15.129] sended 0288 to server
[2023-08-02 07:08:15.130] sended 0288 to server
[2023-08-02 07:08:15.131] sended 0287 to server
[2023-08-02 07:08:15.131] sended 0287 to server
[2023-08-02 07:08:15.182] sended 0288 to server
[2023-08-02 07:08:15.183] sended 0288 to server
[2023-08-02 07:08:15.233] sended 0288 to server
[2023-08-02 07:08:15.234] sended 0288 to server
[2023-08-02 07:08:15.235] sended 0287 to server
[2023-08-02 07:08:15.235] sended 0287 to server
[2023-08-02 07:08:15.286] sended 0287 to server
